"","time","I","D","I_.25","D_.25","I_.5","D_.5","I_.6","D_.6","I_.7","D_.7","I_.8","D_.8"
"1",0,1000,0,1000,0,1000,0,1000,0,1000,0,1000,0
"2",1,893.866030899861,6.72290670839753,891.8321750158,6.71788222938326,889.799903263314,6.71286006242905,888.987437837689,6.7108518447206,888.175225585665,6.70884399879618,887.363266422592,6.70683652528495
"3",2,844.760064941373,12.9045400978484,837.629711695134,12.8682563832025,830.521263892104,12.8320383963995,827.684009465963,12.817569582443,824.850251062793,12.803111262195,822.019986136934,12.7886634294323
"4",3,834.685321610676,18.8833380600519,820.354157012688,18.7714797214726,806.119792923195,18.6600659470815,800.453062917614,18.6156246071684,794.801732483128,18.5712540903375,789.165776316267,18.5269543099841
"5",4,852.013427459078,24.8935402055402,828.846982053448,24.6486561871616,805.950413863433,24.4054544901471,796.866931244919,24.3086426250411,787.826207141561,24.2120977152889,778.828112973523,24.1158192786161
"6",5,889.296638747218,31.1022656240929,855.841894612908,30.6560113391744,822.974601325401,30.2144013293724,809.990699570559,30.0390495796766,797.099323098014,29.8644327810767,784.30005618215,29.690548620023
"7",6,941.832199312953,37.6339524375842,896.648322569032,36.9077215823437,852.561588234188,36.1920224467998,835.230212893074,35.9086654978037,818.070512095958,35.6269675166179,801.081396682705,35.3469210314636
"8",7,1006.72978358776,44.5863522336801,948.286698170663,43.4909752781332,891.692017515851,42.4164909801723,869.56298676697,41.9924778047656,847.72102637698,41.5717383461287,826.163693199367,41.1542530961744
"9",8,1082.29947322818,52.0411537801805,1008.91557375486,50.4760209992004,938.425472952386,48.9485257745254,911.022285029281,48.3479063617356,884.064797397076,47.7531498432526,857.548158335503,47.1642114109155
"10",9,1167.65388697599,60.071028521595,1077.45495112585,57.9228502028473,991.546314156441,55.8377399868186,958.352283750426,55.0210232404312,925.813081865428,54.2140674846579,893.919883988167,53.4167802087358
"11",10,1262.44888171921,68.7443722682045,1153.33752749335,65.88569134161,1050.32698951769,63.1269232163234,1010.77654435408,62.050757197647,972.148261696406,60.9899472822215,934.427162759439,59.9443174345258
"12",11,1366.71543540849,78.1285430856443,1236.34543677681,74.4160469041531,1114.37096721294,70.8549254763868,1067.84373984528,69.4717257031898,1022.57255899899,68.1116190814613,978.533346034072,66.7742920993361
"13",12,1480.75145737281,88.2921240353795,1326.50315512603,83.5647795665296,1183.50808544757,79.0586232744991,1129.32429367116,77.3161642456902,1076.80606177204,75.6071848271473,1025.91636265939,73.9311558837361
"14",13,1605.05274169154,99.3065632491918,1424.00768001079,93.3835739131646,1257.7252134362,87.774270074438,1195.14147097724,85.6152465632865,1134.71841344206,83.5033137728963,1076.40115493664,81.4376174953776
"15",14,1740.26927250242,111.247426050222,1529.18287307724,103.926000524081,1337.12005562414,97.0384461645759,1265.32531023186,94.4000029874956,1196.28297394651,91.8261363557207,1129.91412444135,89.3155184473624
"16",15,1887.17952701783,124.195387595196,1642.45090811331,115.248305600924,1421.87107414341,106.888732517996,1339.9821152246,103.701967034647,1261.54600394234,100.601871081283,1186.45218863945,97.5864450549283
"17",16,2046.67520570114,138.237091934018,1764.31402594152,127.410044373574,1512.21781757139,117.364209759813,1419.27455180786,113.553638860109,1330.60661657604,109.857261337978,1246.0625456225,106.272147920878
"18",17,2219.75370412116,153.465944102023,1895.34359648976,140.474614166674,1608.44791955888,128.505849668214,1503.40810908153,123.98884181459,1403.6028766617,119.619905418208,1308.82865354765,115.39485039072
"19",18,2407.51602114079,169.982834852527,2036.1739966647,154.509723510893,1710.8890315088,140.356828338696,1592.6225614171,135.042996388632,1480.70286636622,129.918501980818,1374.86088079573,124.977475813324
"20",19,2611.16800344746,187.896883629096,2187.50029797702,169.587816967731,1819.90436580522,152.962782077306,1687.18689158619,146.753336089345,1562.09912059552,140.783036578268,1444.29061908417,135.043811997261
"21",20,2832.02380043782,207.326217275526,2350.0771108671,185.786525465572,1935.8893900784,166.372062325483,1787.39564172984,159.159109817941,1648.00479229386,152.244943930471,1517.26632605407,145.618644613744
"22",21,3071.51196896696,228.398752819007,2524.72003520912,203.18908766521,2059.27065797408,180.635959825136,1893.56700805856,172.30175956062,1738.65116172502,164.337251591869,1593.95059311652,156.72787625086
"23",22,3331.18248542273,251.253039031564,2712.30798729094,221.884791664369,2190.50580334536,195.808921220955,2006.04228954761,186.22508107893,1834.28667737638,177.094699490225,1674.51887714319,168.398616604847
"24",23,3612.71498511717,276.039154592408,2913.78600464866,241.969434364859,2330.08374145318,211.948771646693,2125.18553839372,200.975388102548,1935.17623601436,190.553860163225,1759.15853826134,180.659270458875
"25",24,3917.92823126904,302.919666318721,3130.16903746964,263.545813361659,2478.52556799466,229.116944610786,2251.38379364093,216.601677770964,2041.60094003117,204.753256910172,1848.068264166,193.539621989507
"26",25,4248.79043562939,332.070659412478,3362.5462164477,286.724236087268,2636.38590645545,247.378713952465,2385.04776858474,233.155795516173,2153.85831279928,219.733479302619,1941.45795188946,207.070914798131
"27",26,4607.43025591545,363.682819468629,3612.08555577364,311.623070951462,2804.25443173034,266.803439262383,2526.61269291467,250.692607293651,2272.26267319425,235.53730156163,2039.54876995616,221.285931626564
"28",27,4996.1495963496,397.962683621609,3880.03888206113,338.369304898529,2982.75764295899,287.464822679389,2676.53935101886,269.270178615906,2397.14566466655,252.209804710749,2142.57334350436,236.219075879939
"29",28,5417.43645379125,435.133900017822,4167.7478812429,367.099219077289,3172.56085055026,309.441178642114,2835.31529795543,288.949961114529,2528.85693943692,269.798502521569,2250.77608100057,251.906454454348
"30",29,5873.97842513383,475.438559198176,4476.64964511904,397.959006679124,3374.37030754745,332.815718702264,3003.4561819744,309.796988445781,2667.76492888782,288.353472832294,2364.41357835418,268.385963244335
"31",30,6368.6780343773,519.13871497495,4808.28293532967,431.10547241259,3588.93549538429,357.676852095227,3181.50717396624,331.880082057058,2814.25768981967,307.927494725911,2483.75507956678,285.697375873263
"32",31,6904.66854558952,566.517970283896,5164.29502030742,466.706800339885,3817.05155832255,384.118503075927,3370.04449931026,355.272067436519,2968.74382373589,328.576191919531,2609.08299257558,303.882435808829
"33",32,7485.33076011474,617.883181796098,5546.44873514771,504.943349699851,4059.56179024099,412.240435351404,3569.67701395621,380.049995541939,3131.65343537674,350.358180028091,2740.69344010412,322.984951263025
"34",33,8114.31082252842,673.566291649739,5956.62995418706,546.008506081724,4317.36056518565,442.148635299992,3781.04801870245,406.295397351758,3303.43920332859,373.335229836253,2878.89685735509,343.050896273123
"35",34,8795.53899144733,733.926289092236,6396.8554630354,590.109588439357,4591.39602630785,473.955665692888,4004.83699814788,434.094528190211,3484.57746843936,397.572432556446,3024.01864017433,364.12851888484
"36",35,9533.24937810167,799.351309788857,6869.28123852181,637.468813373012,4882.67301388156,507.781054000364,4241.76144790831,463.538626036194,3675.56932848194,423.138366321765,3176.39977093293,386.268444847903
"37",36,10332.0006254449,870.260879516232,7376.21112493843,688.324320116085,5192.25627040905,543.751719532866,4492.57887729739,494.724196003093,3876.94183869096,450.105279776886,3336.39750485837,409.523792033232
"38",37,11196.6974859286,947.108308790649,7920.10590637404,742.931258952411,5521.27367956901,582.002410970247,4758.08885520665,527.7533035904,4089.24925682404,478.549283315184,3504.3860931384,433.950291012991
"39",38,12132.6132355663,1030.38324465114,8503.59277164883,801.562945550194,5870.91965279288,622.676168803605,5039.13513358537,562.733882022861,4313.07432971045,508.550548189494,3680.75752290946,459.606408732906
"40",39,13145.4128331982,1120.61438527079,9129.4751511124,864.512083694449,6242.4586612081,665.924813109296,5336.60785989055,599.780055683102,4549.02962874185,540.193515121903,3865.92228943321,486.553478836136
"41",40,14241.1767033607,1218.3723623032,9800.74293190853,932.092063385863,6637.2288980412,711.909456971504,5651.44587207281,639.012479653486,4797.75890095046,573.567107430475,4060.31017409073,514.855833921334
"42",41,15426.4249835782,1324.27279486843,10520.582974662,1004.63832802119,7056.64607426299,760.801046554963,5984.63907569091,680.558695947648,5059.93852098566,608.764962149449,4264.37106872378,544.580946697608
"43",42,16708.142031732,1438.97951780105,11292.3899328628,1082.50981907102,7502.20734276117,812.780928730251,6337.23090182302,724.553507008241,5336.27897739614,645.885669777246,4478.57583569364,575.799578847056
"44",43,18093.8009377439,1563.20798513578,12119.7773368463,1166.09050039293,7975.49534261485,868.041447184445,6710.32084284031,771.139367043719,5627.52635920382,685.033017313224,4703.4171651728,608.585931182775
"45",44,19591.3877232801,1697.72884776857,13006.5888528659,1255.79096215274,8478.18235756007,926.786567823596,7105.06706313635,820.466791747327,5934.46398599336,726.316257951544,4939.41048287385,643.017804234133
"46",45,21209.4248430331,1843.37170173211,13956.9096599384,1352.05010515105,9012.03457789345,989.232534249716,7522.6890806216,872.694786917985,6257.91402370328,769.850382987475,5187.09490767957,679.176769853717
"47",46,22956.9935212205,2001.02900048097,14975.0778566951,1455.33690657424,9578.9164521339,1055.60855401854,7964.47051339938,927.991296472838,6598.73907083283,815.756394474636,5447.03414925427,717.148335168006
"48",47,24843.7543654464,2171.66012093168,16065.6957824524,1566.15226764942,10180.7951133941,1126.1575162526,8431.76188505604,986.533670292146,6957.84388497266,864.161604147756,5719.81748739973,757.02212266312
"49",48,26879.9655965257,2356.29556865744,17233.6411262176,1685.0309391669,10819.7448608067,1201.13674107969,8925.9834803403,1048.50915228678,7336.17712647089,915.199943100624,6006.06078208843,798.892059213602
"50",49,29076.4981168327,2556.04130250444,18484.0776777474,1812.54352809312,11497.9516726197,1280.81876121317,9448.62824126172,1114.11538901493,7734.73311750301,969.012282077458,6306.40748153026,842.856569042193
"51",50,31444.8465103793,2772.08315289016,19822.4655194776,1949.29857829205,12217.7177237794,1365.49213579991,10001.2646918565,1183.56095909494,8154.55363867082,1025.74676460815,6621.5296631318,889.018775849389
"52",51,33997.1349252361,3005.69130106594,21254.5704599379,2095.94472080888,12981.4658754176,1455.46229645742,10585.5398776536,1257.06592357066,8596.72969751841,1085.55914475048,6952.12906088226,937.486706761172
"53",52,36746.1166334835,3258.22477858228,22786.4724683059,2253.17288834562,13791.7440983478,1551.0524251685,11203.1823034827,1334.86239727789,9062.40338505159,1148.61315060155,7298.93813246893,988.373508695638
"54",53,39705.165896434,3531.13593699845,24424.5728132443,2421.71858564008,14651.229786762,1652.60436340714,11856.0048506523,1417.19514113339,9552.76972021708,1215.08085801645,7662.72115088503,1041.79767506699
"55",54,42888.2605852548,3825.97482744727,26175.5995866001,2602.3642052731,15562.7339113552,1760.47955153565,12545.9076515381,1504.32217512282,10069.0784333867,1285.14306589384,8044.27526483231,1097.88327275077
