"","time","S","E","I","I_h","R","D"
"1",0,3999000,0,1000,0,0,0
"2",1,3998702.93284594,268.742988991488,893.866030899861,0,127.735227459553,6.72290670839753
"3",2,3998429.80257764,467.346555464587,844.760064941373,0,245.18626185912,12.9045400978484
"4",3,3998165.6521699,621.995747284088,834.685321610676,0,358.783423140986,18.8833380600519
"5",4,3997900.13187572,749.983892711057,852.013427459078,0,472.977263905263,24.8935402055402
"6",5,3997625.85968473,862.798364045037,889.296638747218,0,590.943046857765,31.1022656240929
"7",6,3997337.34089345,968.14785849018,941.832199312953,0,715.0450963141,37.6339524375842
"8",7,3997030.26117428,1071.28199745603,1006.72978358776,0,847.140692439923,44.5863522336801
"9",8,3996701.0171408,1175.86031036724,1082.29947322818,0,988.781921823429,52.0411537801805
"10",9,3996346.40512896,1284.52041363422,1167.65388697599,0,1141.34954191031,60.071028521595
"11",10,3995963.41185094,1399.25182197731,1262.44888171921,0,1306.14307309589,68.7443722682045
"12",11,3995549.07155806,1521.64214481554,1366.71543540849,0,1484.44231862724,78.1285430856443
"13",12,3995100.36635007,1653.03971184825,1480.75145737281,0,1677.55035667221,88.2921240353795
"14",13,3994614.15405842,1794.6619349005,1605.05274169154,0,1886.82470173464,99.3065632491918
"15",14,3994087.11333824,1947.66886825025,1740.26927250242,0,2113.70109495422,111.247426050222
"16",15,3993515.70030366,2113.21241741817,1887.17952701783,0,2359.71236430873,124.195387595196
"17",16,3992896.11115138,2292.47180424062,2046.67520570114,0,2626.50474674634,138.237091934018
"18",17,3992224.24786099,2486.6795528439,2219.75370412116,0,2915.85293793843,153.465944102023
"19",18,3991495.68696157,2697.1403202371,2407.51602114079,0,3229.67386219801,169.982834852527
"20",19,3990705.64765651,2925.24666745596,2611.16800344746,0,3570.04078895283,187.896883629096
"21",20,3989848.9585462,3172.49330785228,2832.02380043782,0,3939.198128235,207.326217275526
"22",21,3988920.02434959,3440.48862506354,3071.51196896696,0,4339.57630356114,228.398752819007
"23",22,3987912.7902622,3730.96647174871,3331.18248542273,0,4773.80774159972,251.253039031564
"24",23,3986820.70408522,4045.7978378101,3612.71498511717,0,5244.74393725574,276.039154592408
"25",24,3985636.67601631,4387.00242604348,3917.92823126904,0,5755.4736600557,302.919666318721
