"","time","S","E","I","R","D","N_t"
"1",0,3999000,0,1000,0,0,4e+06
"2",1,3998478.66300816,471.806630604344,914.075464499754,128.682151899573,6.77274483681961,4e+06
"3",2,3997978.81856032,839.339211490801,916.500088416986,252.075032782623,13.2671069885591,4e+06
"4",3,3997459.57608261,1158.35027471851,981.786380748151,380.272898826136,20.0143630961124,4e+06
"5",4,3996890.58818915,1465.02744480985,1096.20359434587,520.771733110822,27.4090385847801,4e+06
"6",5,3996246.8901194,1784.18023160991,1253.41102820005,679.742689747687,35.7759310393519,4e+06
"7",6,3995505.61096107,2134.26363346016,1451.86804142778,862.844495837723,45.4128682019854,4e+06
"8",7,3994643.7928933,2530.49299078715,1693.33193181481,1075.76307489277,56.6191092048825,4e+06
"9",8,3993636.84041481,2986.83007425567,1982.01752036811,1324.59639104142,69.7155995284959,4e+06
"10",9,3992457.31369333,3517.3000938246,2324.17017115749,1616.1552396036,85.0608020843998,4e+06
"11",10,3991073.88310178,4136.92710052017,2727.89988024565,1958.22542157692,103.06449587247,4e+06
"12",11,3989450.33200343,4862.45582499284,3203.19153372174,2359.81960595901,124.20103189258,4e+06
"13",12,3987544.52583542,5712.97544437275,3762.03588302261,2831.4396953286,149.0231418594,4e+06
"14",13,3985307.29596663,6710.5081964753,4418.65562004243,3385.36320601171,178.177010842721,4e+06
"15",14,3982681.19158764,7880.61053516589,5189.81221567557,4035.96637843711,212.419283075637,4e+06
"16",15,3979599.06693133,9253.01627566278,6095.18674672216,4800.09354397322,252.63650231438,4e+06
"17",16,3975982.46767056,10862.3442398306,7157.83662761053,5697.4838888988,299.867573099937,4e+06
"18",17,3971739.79298807,12748.8840820077,8404.72923242581,6751.26401262016,355.329684874745,4e+06
"19",18,3966764.19333641,14959.4760357477,9867.36171451266,7988.52046766069,420.448445666352,4e+06
"20",19,3960931.18650933,17548.4890070896,11582.4702156042,9440.96155457983,496.892713398938,4e+06
"21",20,3954095.9667759,20578.8995759547,13592.8370197405,11145.6817969801,586.614831420006,4e+06
"22",21,3946090.39161573,24123.4692053736,15948.1998687326,13146.042344652,691.896965508002,4e+06
"23",22,3936719.637464,28266.0057627329,18706.2696475385,15492.6827694363,815.404356286121,4e+06
"24",23,3925758.52586582,33102.6890317377,21933.8565182149,18244.6821550137,960.24642921125,4e+06
"25",24,3912947.59424853,38743.4047825486,25708.0852658444,21470.8699179227,1130.04578515383,4e+06
"26",25,3897988.93419794,45313.0282602523,30117.7049443349,25251.3159675967,1329.01662987351,4e+06
"27",26,3880541.94138261,52952.5584804139,35264.44700619,29679.0004742422,1562.05265653906,4e+06
"28",27,3860219.16229283,61819.959552583,41264.3852174464,34861.6682902822,1834.82464685696,4e+06
"29",28,3836582.51091586,72090.5038930018,48249.233382406,40923.8642182919,2153.88759043642,4e+06
"30",29,3809140.23389307,83956.3712555358,56367.4638687004,48009.1344335607,2526.79654913477,4e+06
"31",30,3777345.14880035,97625.1580003501,65785.1037400669,56282.3599862715,2962.22947296166,4e+06
"32",31,3740594.84285153,113316.864595799,76686.0140900328,65932.1645395017,3470.11392313167,4e+06
"33",32,3698234.68357926,131258.869841557,89271.3820096993,77173.311341004,4061.7532284739,4e+06
"34",33,3649564.69504099,151678.294565975,103758.105260331,90248.9598760628,4749.94525663488,4e+06
"35",34,3593851.50700528,174791.129754575,120375.673731577,105432.605033141,5549.0844754285,4e+06
"36",35,3530346.66735308,200787.552486953,139361.078626709,123029.466456596,6475.23507666293,4e+06
"37",36,3458312.59707716,229812.956416471,160951.262426091,143377.024876264,7546.15920401389,4e+06
"38",37,3377057.21302764,261944.550971311,185372.616935166,166844.338112591,8781.28095329424,4e+06
"39",38,3285977.69740982,297163.915110386,212827.114843086,193829.709004871,10201.5636318353,4e+06
"40",39,3184612.9833272,335326.638544522,243474.874336176,224756.2286025,11829.2751896053,4e+06
"41",40,3072703.14684704,376131.250179851,277413.271165322,260064.715217397,13687.6165903893,4e+06
"42",41,2950252.05338112,419090.922026223,314653.219402992,300203.614930179,15800.1902594831,4e+06
"43",42,2817587.71576214,463512.377786977,355094.048151618,345615.565384297,18190.292914963,4e+06
"44",43,2675412.59281955,508487.998298908,398498.812539761,396720.566524686,20880.0298170887,4e+06
"45",44,2524835.21535309,552906.367144584,444473.163488867,453895.991312785,23889.2627006729,4e+06
"46",45,2367373.78901292,595486.399894237,492451.222644992,517454.159025456,27234.4294223924,4e+06
"47",46,2204925.25431043,634836.85716926,541691.898144548,587618.69085697,30927.2995187879,4e+06
"48",47,2039693.44057911,669541.834865642,591289.7328861,664501.242085685,34973.7495834571,4e+06
"49",48,1874084.48421576,698260.492915,640201.506445126,748080.840602908,39372.6758212057,4e+06
"50",49,1710571.86732248,719836.157501138,687288.972645413,838187.852404416,44115.1501265482,4e+06
"51",50,1551548.60285248,733397.190564755,731375.284663003,934494.975823772,49183.946095988,4e+06
"52",51,1399185.14208474,738433.478412537,771311.693945736,1036516.20127913,54553.4842778492,4e+06
